M2,free_energy
0.003090117235122368,0.0
0.009270350300231921,0.970033163675394
0.015450583365341473,1.6304685051168502
0.021630816430451026,2.348806023833192
0.027811049495560576,3.369040041429048
0.03399128256067013,3.8126372301788796
0.04017151562577968,4.094175222638425
0.04635174869088924,4.0381012602689
0.05253198175599879,4.097470352105045
0.05871221482110835,4.514216047941835
0.0648924478862179,4.942114524887566
0.07107268095132743,5.189334776506646
0.077252914016437,5.279538199310753
0.08343314708154655,5.485562461322139
0.0896133801466561,5.593475838775376
0.09579361321176566,5.504436110109808
0.1019738462768752,5.536974033782213
0.10815407934198476,5.940167831883704
0.11433431240709431,6.350473401851257
0.12051454547220386,6.703578769282002
0.12669477853731342,6.992128212316078
0.13287501160242296,7.032261900206789
0.13905524466753252,6.635754546248725
0.14523547773264206,6.792179707298362
0.15141571079775162,6.771048514199495
0.1575959438628612,6.534404416608499
0.16377617692797072,6.88353059330986
0.1699564099930803,7.602504513790958
0.17613664305818982,7.752260483756978
0.1823168761232994,7.810816379415655
0.18849710918840895,7.8770760710009515
0.1946773422535185,7.774116477420106
0.20085757531862805,7.632965449568953
0.2070378083837376,7.72592583757722
0.21321804144884715,8.126227427294351
0.21939827451395671,8.25948945330315
0.22557850757906625,8.276363359578703
0.23175874064417581,8.124111610980039
0.23793897370928535,8.175544573186276
0.24411920677439491,8.313235722286676
0.2502994398395045,8.454921793366356
0.25647967290461404,8.90094071724454
0.26265990596972355,8.923864976484754
0.26884013903483317,8.558788405865396
0.2750203720999427,8.252927666070994
0.2812006051650523,8.048827320665758
0.2873808382301618,8.158216159199021
0.2935610712952713,8.652062497930569
0.29974130436038093,9.557748701565615
0.30592153742549044,10.842798404578526
0.31210177049060006,12.626006893372615
0.31828200355570957,15.290119502253306
0.3244622366208191,18.614517400602388
0.3306424696859287,22.639175822222846
0.3368227027510382,27.27262587009048
0.3430029358161478,32.43684025211503
0.34918316888125733,nan
0.35536340194636684,nan
0.36154363501147646,nan
0.36772386807658597,nan
0.3739041011416956,nan
0.3800843342068051,nan
0.3862645672719146,nan
0.3924448003370242,nan
