L,Z,m2,phase,epsilon,n_lf,trajectory_length,tempering_replicas,mass_span,swap_every,block,sweeps,acceptance_min,acceptance_mean,acceptance_max,zero_slots,swap_acceptance_min,swap_acceptance_median,unused_edges,M_low,M_target,M_high,rms_displacement,round_trips,exchange_rounds,round_trip_walker_fraction,low_endpoint_walker_fraction,high_endpoint_walker_fraction,seconds
24,-0.8999999761581421,-2.35116,disordered,0.0095,25,0.2375,17,0.2,1,1,256,0.69140625,0.8582261029411765,0.92578125,0,0.453125,0.70703125,0,-0.003092402109393367,0.011604273760760273,0.00864258794872849,0.61757267,1,256,0.058823529411764705,0.5882352941176471,0.23529411764705882,6.973321711
24,-0.8999999761581421,-2.35116,disordered,0.0095,25,0.2375,17,0.2,1,2,512,0.9453125,0.9604779411764706,0.984375,0,0.5859375,0.70703125,0,-0.0417939821879069,-0.013394922018051147,-0.003607579955348262,0.62858135,2,512,0.11764705882352941,0.8235294117647058,0.47058823529411764,0.246729821
24,-0.8999999761581421,-2.35116,disordered,0.0095,25,0.2375,17,0.2,1,3,768,0.9296875,0.9609375,0.98046875,0,0.6302083333333334,0.703125,0,-0.05601476298438178,-0.06349441740247938,0.04260011072512026,0.62946266,4,768,0.23529411764705882,0.8823529411764706,0.5882352941176471,0.246521055
24,-0.8999999761581421,-2.35116,disordered,0.0095,25,0.2375,17,0.2,1,4,1024,0.9375,0.9616268382352942,0.98828125,0,0.650390625,0.712890625,0,0.1022437678443061,-0.02282145067497536,-0.008913923192907262,0.6363458,5,1024,0.29411764705882354,0.9411764705882353,0.7058823529411765,0.270345187
24,-0.8999999761581421,-2.35116,disordered,0.0095,25,0.2375,17,0.2,1,5,1280,0.9375,0.9625459558823529,0.984375,0,0.65,0.70546875,0,0.11359531791121871,-0.0279344430676213,-0.09182743672971372,0.6349007,7,1280,0.4117647058823529,1.0,0.8235294117647058,0.246869485
24,-0.8999999761581421,-2.35116,disordered,0.0095,25,0.2375,17,0.2,1,6,1536,0.91015625,0.9505974264705882,0.97265625,0,0.6497395833333334,0.7096354166666667,0,0.06932873196072048,0.03434884548187256,-0.026160414572115296,0.6351787,8,1536,0.47058823529411764,1.0,0.8235294117647058,0.246123762
24,-0.8999999761581421,-2.35116,disordered,0.0095,25,0.2375,17,0.2,1,7,1792,0.93359375,0.9549632352941176,0.97265625,0,0.6640625,0.7131696428571428,0,-0.07522175047132704,0.02689976383138586,-0.055110171989158345,0.63717633,12,1792,0.7058823529411765,1.0,0.9411764705882353,0.270163593
24,-0.8999999761581421,-2.35116,disordered,0.0095,25,0.2375,17,0.2,1,8,2048,0.9296875,0.9556525735294118,0.98046875,0,0.669921875,0.7138671875,0,0.10646271705627441,0.08929997903329355,0.013203784271522804,0.63879955,12,2048,0.7058823529411765,1.0,0.9411764705882353,0.246469648
24,-0.8999999761581421,-2.35116,ordered,0.0095,25,0.2375,17,0.2,1,1,256,0.27734375,0.6084558823529411,0.82421875,0,0.484375,0.65625,0,0.6777980239303024,0.6440717909071181,0.6240189163773148,0.27000353,0,256,0.0,0.7058823529411765,0.17647058823529413,0.271269348
24,-0.8999999761581421,-2.35116,ordered,0.0095,25,0.2375,17,0.2,1,2,512,0.9296875,0.9542738970588235,0.97265625,0,0.56640625,0.673828125,0,0.6786028544108073,0.6472800219500506,0.6301330990261502,0.26996827,0,512,0.0,0.7058823529411765,0.23529411764705882,0.246298683
24,-0.8999999761581421,-2.35116,ordered,0.0095,25,0.2375,17,0.2,1,3,768,0.90625,0.9549632352941176,0.9765625,0,0.5989583333333334,0.6822916666666667,0,0.6770783177128544,0.6455704017921731,0.6232361970124422,0.26899028,1,768,0.058823529411764705,0.8235294117647058,0.4117647058823529,0.247145527
24,-0.8999999761581421,-2.35116,ordered,0.0095,25,0.2375,17,0.2,1,4,1024,0.94140625,0.9623161764705882,0.98046875,0,0.611328125,0.685546875,0,0.672544761940285,0.648686373675311,0.6223181265371817,0.26996088,4,1024,0.23529411764705882,0.8235294117647058,0.5294117647058824,0.269864387
24,-0.8999999761581421,-2.35116,ordered,0.0095,25,0.2375,17,0.2,1,5,1280,0.9296875,0.9533547794117647,0.9765625,0,0.625,0.6796875,0,0.6715657975938585,0.6431624801070602,0.6218757629394531,0.27268288,6,1280,0.29411764705882354,0.8823529411764706,0.5882352941176471,0.246037398
24,-0.8999999761581421,-2.35116,ordered,0.0095,25,0.2375,17,0.2,1,6,1536,0.9296875,0.9561121323529411,0.98046875,0,0.6432291666666666,0.685546875,0,0.6760139465332031,0.651678791752568,0.6269975591588903,0.27222857,7,1536,0.35294117647058826,0.8823529411764706,0.5882352941176471,0.246068086
24,-0.8999999761581421,-2.35116,ordered,0.0095,25,0.2375,17,0.2,1,7,1792,0.9140625,0.9533547794117647,0.984375,0,0.6305803571428571,0.6902901785714286,0,0.6704072599057798,0.6461102520978009,0.6098708400019893,0.2719612,8,1792,0.35294117647058826,0.9411764705882353,0.6470588235294118,0.246491259
24,-0.8999999761581421,-2.35116,ordered,0.0095,25,0.2375,17,0.2,1,8,2048,0.9296875,0.9535845588235294,0.97265625,0,0.62890625,0.68896484375,0,0.6758528815375434,0.65196779039171,0.6334070276331019,0.2708383,11,2048,0.47058823529411764,0.9411764705882353,0.7647058823529411,0.245728404
