L,Z,m2,phase,epsilon,n_lf,trajectory_length,tempering_replicas,mass_span,swap_every,block,sweeps,acceptance_min,acceptance_mean,acceptance_max,zero_slots,swap_acceptance_min,swap_acceptance_median,unused_edges,M_low,M_target,M_high,rms_displacement,round_trips,exchange_rounds,round_trip_walker_fraction,low_endpoint_walker_fraction,high_endpoint_walker_fraction,seconds
24,-0.6000000238418579,-1.86421,disordered,0.02318953874,4,0.09275815496,25,0.2,1,1,128,0.0,0.0,0.0,25,0.984375,1.0,0,0.0005567447730788479,0.00021071595795176649,6.9805472675297e-5,0.0707927,39,128,1.0,1.0,1.0,6.801052787
24,-0.6000000238418579,-1.86421,disordered,0.02318953874,4,0.09275815496,25,0.2,1,2,256,0.0,0.0,0.0,25,0.984375,1.0,0,-0.00025415837902713703,0.0007079810731940799,-0.0005695211390654246,0.07069741,98,256,1.0,1.0,1.0,0.06044154
24,-0.6000000238418579,-1.86421,disordered,0.02318953874,4,0.09275815496,25,0.2,1,3,384,0.0,0.0,0.0,25,0.9895833333333334,1.0,0,-7.674287728689336e-6,-7.661801107503749e-6,-0.000656901686279862,0.07071849,161,384,1.0,1.0,1.0,0.060193761
24,-0.6000000238418579,-1.86421,disordered,0.02318953874,4,0.09275815496,25,0.2,1,4,512,0.0,0.0,0.0,25,0.98828125,1.0,0,-1.1103391578352009e-5,0.0005992289494585108,-2.6698534687360127e-5,0.0692124,220,512,1.0,1.0,1.0,0.09275112
24,-0.6000000238418579,-1.86421,ordered,0.02318953874,4,0.09275815496,25,0.2,1,1,128,0.0,0.0,0.0,25,0.71875,0.8359375,0,0.6984669014259621,0.6801312764485677,0.667790448224103,0.065086685,0,128,0.0,0.24,0.0,0.056713752
24,-0.6000000238418579,-1.86421,ordered,0.02318953874,4,0.09275815496,25,0.2,1,2,256,0.0,0.0,0.0,25,0.7578125,0.81640625,0,0.699483659532335,0.6801312764485677,0.6646618313259549,0.06352739,0,256,0.0,0.36,0.0,0.055716543
24,-0.6000000238418579,-1.86421,ordered,0.02318953874,4,0.09275815496,25,0.2,1,3,384,0.0,0.0,0.0,25,0.7708333333333334,0.8151041666666667,0,0.6984669014259621,0.6843833923339844,0.6693300317834925,0.068085626,0,384,0.0,0.36,0.0,0.055746009
24,-0.6000000238418579,-1.86421,ordered,0.02318953874,4,0.09275815496,25,0.2,1,4,512,0.0,0.0,0.0,25,0.76953125,0.818359375,0,0.6984669014259621,0.6884876533790871,0.6646618313259549,0.06184302,0,512,0.0,0.36,0.0,0.055678121
