L,Z,m2,phase,epsilon,n_lf,trajectory_length,tempering_replicas,mass_span,swap_every,block,sweeps,acceptance_min,acceptance_mean,acceptance_max,zero_slots,swap_acceptance_min,swap_acceptance_median,unused_edges,M_low,M_target,M_high,rms_displacement,round_trips,exchange_rounds,round_trip_walker_fraction,low_endpoint_walker_fraction,high_endpoint_walker_fraction,seconds
24,-0.6000000238418579,-1.86421,disordered,0.0095,25,0.2375,25,0.2,1,1,256,0.171875,0.76546875,0.94140625,0,0.328125,0.78515625,0,0.04389448519106264,0.006683170795440674,-0.01133392475269459,0.51271224,0,256,0.0,0.4,0.12,6.910343196
24,-0.6000000238418579,-1.86421,disordered,0.0095,25,0.2375,25,0.2,1,2,512,0.9375,0.960625,0.9765625,0,0.546875,0.798828125,0,0.04128600932933666,0.005171365208095974,0.0031516540933538366,0.532349,1,512,0.04,0.64,0.16,0.334984979
24,-0.6000000238418579,-1.86421,disordered,0.0095,25,0.2375,25,0.2,1,3,768,0.9296875,0.95484375,0.96875,0,0.6197916666666666,0.79296875,0,0.020578834745619033,-0.02549467263398347,0.09157001530682599,0.5387013,1,768,0.04,0.76,0.28,0.336754017
24,-0.6000000238418579,-1.86421,disordered,0.0095,25,0.2375,25,0.2,1,4,1024,0.9296875,0.95859375,0.9765625,0,0.66015625,0.791015625,0,0.02680704328748915,0.10981483812685366,-0.019791905526761657,0.5379848,3,1024,0.12,0.84,0.36,0.359182527
24,-0.6000000238418579,-1.86421,ordered,0.0095,25,0.2375,25,0.2,1,1,256,0.234375,0.68375,0.90625,0,0.5625,0.74609375,0,0.6078453770390263,0.5396693900779441,0.4890915199562355,0.29307544,0,256,0.0,0.44,0.12,0.334836657
24,-0.6000000238418579,-1.86421,ordered,0.0095,25,0.2375,25,0.2,1,2,512,0.91796875,0.95203125,0.9765625,0,0.6328125,0.76171875,0,0.5725135096797237,0.5442362184877749,0.49814206582528575,0.29621106,0,512,0.0,0.68,0.16,0.357564533
24,-0.6000000238418579,-1.86421,ordered,0.0095,25,0.2375,25,0.2,1,3,768,0.92578125,0.9553125,0.98046875,0,0.6822916666666666,0.7682291666666666,0,0.568353017171224,0.5256724180998625,0.4892109058521412,0.30177832,1,768,0.04,0.8,0.24,0.334728762
24,-0.6000000238418579,-1.86421,ordered,0.0095,25,0.2375,25,0.2,1,4,1024,0.9375,0.9584375,0.98046875,0,0.701171875,0.7646484375,0,0.5756292696352359,0.522014405992296,0.4689529913443106,0.31201568,1,1024,0.04,0.8,0.36,0.334705528
