L,Z,m2,phase,epsilon,n_lf,trajectory_length,tempering_replicas,mass_span,swap_every,block,sweeps,acceptance_min,acceptance_mean,acceptance_max,zero_slots,swap_acceptance_min,swap_acceptance_median,unused_edges,M_low,M_target,M_high,rms_displacement,round_trips,exchange_rounds,round_trip_walker_fraction,low_endpoint_walker_fraction,high_endpoint_walker_fraction,seconds
32,-0.7699999809265137,-2.11798,disordered,0.0065,37,0.2405,33,0.2,1,1,256,0.00390625,0.7700047348484849,0.96484375,0,0.4765625,0.6953125,0,0.0369211882352829,-0.006000562570989132,-8.24361268314533e-5,0.56304824,0,256,0.0,0.3333333333333333,0.06060606060606061,7.874477121
32,-0.7699999809265137,-2.11798,disordered,0.0065,37,0.2405,33,0.2,1,2,512,0.87890625,0.9669744318181818,0.9921875,0,0.37109375,0.740234375,0,0.002246187999844551,0.018538787961006165,0.0028879819437861443,0.5839108,0,512,0.0,0.42424242424242425,0.06060606060606061,1.329787897
32,-0.7699999809265137,-2.11798,disordered,0.0065,37,0.2405,33,0.2,1,3,768,0.953125,0.9718276515151515,0.9921875,0,0.4505208333333333,0.75,0,-0.05141803249716759,-0.03491688147187233,0.025424137711524963,0.5888802,0,768,0.0,0.48484848484848486,0.06060606060606061,1.351824925
32,-0.7699999809265137,-2.11798,disordered,0.0065,37,0.2405,33,0.2,1,4,1024,0.9453125,0.9701704545454546,0.98828125,0,0.529296875,0.7548828125,0,-0.03443044796586037,-0.022887391969561577,-0.023262042552232742,0.59107935,0,1024,0.0,0.5151515151515151,0.06060606060606061,1.338706995
32,-0.7699999809265137,-2.11798,disordered,0.0065,37,0.2405,33,0.2,1,5,1280,0.94921875,0.9694602272727273,0.9921875,0,0.5703125,0.75859375,0,0.12601357698440552,0.04670405015349388,0.03955835476517677,0.5935472,0,1280,0.0,0.6060606060606061,0.12121212121212122,1.336709211
32,-0.7699999809265137,-2.11798,disordered,0.0065,37,0.2405,33,0.2,1,6,1536,0.95703125,0.9725378787878788,0.9921875,0,0.5963541666666666,0.7610677083333333,0,-0.05244631692767143,-0.019850173965096474,0.06066538393497467,0.59405637,0,1536,0.0,0.6363636363636364,0.12121212121212122,1.356064602
32,-0.7699999809265137,-2.11798,disordered,0.0065,37,0.2405,33,0.2,1,7,1792,0.94921875,0.9660274621212122,0.98828125,0,0.6116071428571429,0.7650669642857143,0,-0.007997682318091393,-0.009217744693160057,-0.04872004687786102,0.5966701,0,1792,0.0,0.6666666666666666,0.12121212121212122,1.351996298
32,-0.7699999809265137,-2.11798,disordered,0.0065,37,0.2405,33,0.2,1,8,2048,0.94921875,0.9682765151515151,0.98828125,0,0.6337890625,0.7666015625,0,-0.04624663665890694,0.005573556758463383,-0.02231789380311966,0.5973371,0,2048,0.0,0.7272727272727273,0.18181818181818182,1.343927311
32,-0.7699999809265137,-2.11798,ordered,0.0065,37,0.2405,33,0.2,1,1,256,0.125,0.7073863636363636,0.890625,0,0.390625,0.73046875,0,0.7222771048545837,0.5968031883239746,0.5631011724472046,0.26958302,0,256,0.0,0.45454545454545453,0.0,1.346704048
32,-0.7699999809265137,-2.11798,ordered,0.0065,37,0.2405,33,0.2,1,2,512,0.0234375,0.8998579545454546,0.99609375,0,0.36328125,0.740234375,0,0.7222771048545837,0.6044216156005859,0.5671217441558838,0.27494994,0,512,0.0,0.45454545454545453,0.06060606060606061,1.399665254
32,-0.7699999809265137,-2.11798,ordered,0.0065,37,0.2405,33,0.2,1,3,768,0.26171875,0.9385653409090909,0.9921875,0,0.2838541666666667,0.7486979166666667,0,0.6300715804100037,0.6004335880279541,0.5569470524787903,0.28499445,0,768,0.0,0.48484848484848486,0.09090909090909091,1.578227785
32,-0.7699999809265137,-2.11798,ordered,0.0065,37,0.2405,33,0.2,1,4,1024,0.95703125,0.974905303030303,0.9921875,0,0.39453125,0.7470703125,0,0.6156086921691895,0.5925418138504028,0.5565010905265808,0.286056,0,1024,0.0,0.6060606060606061,0.12121212121212122,1.349989589
32,-0.7699999809265137,-2.11798,ordered,0.0065,37,0.2405,33,0.2,1,5,1280,0.953125,0.9692234848484849,0.98828125,0,0.453125,0.746875,0,0.6256051063537598,0.6114751100540161,0.557094931602478,0.2878667,0,1280,0.0,0.6060606060606061,0.12121212121212122,1.342663397
32,-0.7699999809265137,-2.11798,ordered,0.0065,37,0.2405,33,0.2,1,6,1536,0.9453125,0.9686316287878788,0.98828125,0,0.4908854166666667,0.748046875,0,0.6273254752159119,0.5940481424331665,0.5496625304222107,0.2907797,1,1536,0.030303030303030304,0.6666666666666666,0.12121212121212122,1.365494068
32,-0.7699999809265137,-2.11798,ordered,0.0065,37,0.2405,33,0.2,1,7,1792,0.9453125,0.967092803030303,0.98828125,0,0.5267857142857143,0.7483258928571428,0,0.6211550235748291,0.5983821153640747,0.5319792628288269,0.29519162,1,1792,0.030303030303030304,0.696969696969697,0.15151515151515152,1.343690882
32,-0.7699999809265137,-2.11798,ordered,0.0065,37,0.2405,33,0.2,1,8,2048,0.9375,0.9711174242424242,0.98828125,0,0.5615234375,0.74755859375,0,0.6242721676826477,0.5905343294143677,0.5396348237991333,0.29723874,1,2048,0.030303030303030304,0.696969696969697,0.21212121212121213,1.3646182
