L,Z,m2,phase,epsilon,n_lf,trajectory_length,tempering_replicas,mass_span,swap_every,block,sweeps,acceptance_min,acceptance_mean,acceptance_max,zero_slots,swap_acceptance_min,swap_acceptance_median,unused_edges,M_low,M_target,M_high,rms_displacement,round_trips,exchange_rounds,round_trip_walker_fraction,low_endpoint_walker_fraction,high_endpoint_walker_fraction,seconds
24,-0.6000000238418579,-1.86421,disordered,0.0095,25,0.2375,17,0.2,1,1,256,0.53515625,0.7805606617647058,0.9140625,0,0.484375,0.640625,0,-0.03288686275482178,0.012273333690784595,-0.024669737727553757,0.5164344,0,256,0.0,0.6470588235294118,0.29411764705882354,7.039791215
24,-0.6000000238418579,-1.86421,disordered,0.0095,25,0.2375,17,0.2,1,2,512,0.9375,0.9593290441176471,0.98046875,0,0.6015625,0.677734375,0,-0.018896367814805772,0.005622810787624783,-0.02367469999525282,0.5339272,1,512,0.058823529411764705,0.7647058823529411,0.35294117647058826,0.246555029
24,-0.6000000238418579,-1.86421,disordered,0.0095,25,0.2375,17,0.2,1,3,768,0.92578125,0.9561121323529411,0.9765625,0,0.6588541666666666,0.6875,0,0.04680244127909342,0.05350745165789569,-0.034160892168680825,0.5373547,2,768,0.11764705882352941,0.9411764705882353,0.5882352941176471,0.24872032
24,-0.6000000238418579,-1.86421,disordered,0.0095,25,0.2375,17,0.2,1,4,1024,0.9296875,0.9597886029411765,0.98046875,0,0.662109375,0.6962890625,0,0.015578130880991617,0.04158896870083279,0.012777090072631836,0.54015315,3,1024,0.17647058823529413,0.9411764705882353,0.6470588235294118,0.271982067
24,-0.6000000238418579,-1.86421,disordered,0.0095,25,0.2375,17,0.2,1,5,1280,0.94140625,0.9650735294117647,0.98046875,0,0.653125,0.70625,0,0.029696318838331435,-0.045607959782635724,0.04248796568976508,0.5409933,6,1280,0.29411764705882354,0.9411764705882353,0.7647058823529411,0.246475249
24,-0.6000000238418579,-1.86421,disordered,0.0095,25,0.2375,17,0.2,1,6,1536,0.91796875,0.9528952205882353,0.97265625,0,0.6549479166666666,0.7096354166666667,0,0.0010411926993617304,-0.10862944744251392,0.0011773451610847755,0.54427844,8,1536,0.4117647058823529,0.9411764705882353,0.7647058823529411,0.247207635
24,-0.6000000238418579,-1.86421,disordered,0.0095,25,0.2375,17,0.2,1,7,1792,0.93359375,0.95703125,0.9765625,0,0.6640625,0.7053571428571428,0,-0.03303038632428205,0.033759492414968985,0.005280483652044226,0.5448465,9,1792,0.4117647058823529,0.9411764705882353,0.7647058823529411,0.268771598
24,-0.6000000238418579,-1.86421,disordered,0.0095,25,0.2375,17,0.2,1,8,2048,0.9296875,0.9522058823529411,0.98046875,0,0.662109375,0.7060546875,0,0.18312450691505713,-0.03861226858916106,0.041825188530815974,0.54718626,9,2048,0.4117647058823529,1.0,0.8235294117647058,0.243885765
24,-0.6000000238418579,-1.86421,ordered,0.0095,25,0.2375,17,0.2,1,1,256,0.1796875,0.6024816176470589,0.828125,0,0.5390625,0.609375,0,0.6614028082953559,0.535087161593967,0.5018190101340965,0.2909156,0,256,0.0,0.6470588235294118,0.23529411764705882,0.244434183
24,-0.6000000238418579,-1.86421,ordered,0.0095,25,0.2375,17,0.2,1,2,512,0.9375,0.9551930147058824,0.9765625,0,0.5390625,0.634765625,0,0.5726336020010488,0.5344812605116103,0.4966413003427011,0.30416554,1,512,0.058823529411764705,0.7647058823529411,0.29411764705882354,0.271195657
24,-0.6000000238418579,-1.86421,ordered,0.0095,25,0.2375,17,0.2,1,3,768,0.91796875,0.9556525735294118,0.9765625,0,0.6067708333333334,0.65234375,0,0.5699762061790183,0.5312562165436922,0.4788219310619213,0.30580875,2,768,0.11764705882352941,0.8235294117647058,0.35294117647058826,0.243861178
24,-0.6000000238418579,-1.86421,ordered,0.0095,25,0.2375,17,0.2,1,4,1024,0.9375,0.9549632352941176,0.9765625,0,0.599609375,0.6533203125,0,0.5742131692391855,0.5360815613358109,0.44890735767505785,0.31294405,3,1024,0.17647058823529413,0.8235294117647058,0.35294117647058826,0.267980239
24,-0.6000000238418579,-1.86421,ordered,0.0095,25,0.2375,17,0.2,1,5,1280,0.92578125,0.9549632352941176,0.98046875,0,0.5984375,0.6460937499999999,0,0.5740033962108471,0.5304217868381076,0.47780383074725113,0.31972408,4,1280,0.23529411764705882,0.8235294117647058,0.4117647058823529,0.243260631
24,-0.6000000238418579,-1.86421,ordered,0.0095,25,0.2375,17,0.2,1,6,1536,0.94140625,0.9600183823529411,0.98046875,0,0.5950520833333334,0.64453125,0,0.5717443536829065,0.5292239718967013,0.4236651173344365,0.32633236,5,1536,0.29411764705882354,0.8235294117647058,0.47058823529411764,0.243259188
24,-0.6000000238418579,-1.86421,ordered,0.0095,25,0.2375,17,0.2,1,7,1792,0.92578125,0.9485294117647058,0.96875,0,0.5658482142857143,0.65234375,0,0.5648072560628256,0.5211115589848271,0.4830985599093967,0.3251587,5,1792,0.29411764705882354,0.8235294117647058,0.5294117647058824,0.262073384
24,-0.6000000238418579,-1.86421,ordered,0.0095,25,0.2375,17,0.2,1,8,2048,0.9296875,0.9519761029411765,0.9765625,0,0.580078125,0.6572265625,0,0.5658027507640697,0.5143500080815068,0.46455439814814814,0.3339591,5,2048,0.29411764705882354,0.8235294117647058,0.5294117647058824,0.242799247
