L,Z,m2,phase,epsilon,n_lf,trajectory_length,tempering_replicas,mass_span,swap_every,block,sweeps,acceptance_min,acceptance_mean,acceptance_max,zero_slots,swap_acceptance_min,swap_acceptance_median,unused_edges,M_low,M_target,M_high,rms_displacement,round_trips,exchange_rounds,round_trip_walker_fraction,low_endpoint_walker_fraction,high_endpoint_walker_fraction,seconds
32,-0.8999999761581421,-2.3459,disordered,0.0065,37,0.2405,33,0.2,1,1,256,0.38671875,0.806344696969697,0.94921875,0,0.3828125,0.72265625,0,-0.016727246344089508,0.004898455925285816,-0.02036270685493946,0.61440927,0,256,0.0,0.3333333333333333,0.06060606060606061,8.071112293
32,-0.8999999761581421,-2.3459,disordered,0.0065,37,0.2405,33,0.2,1,2,512,0.953125,0.9718276515151515,0.98828125,0,0.54296875,0.736328125,0,-0.030443385243415833,-0.018721671774983406,0.03136562928557396,0.62755257,0,512,0.0,0.42424242424242425,0.06060606060606061,1.339133763
32,-0.8999999761581421,-2.3459,disordered,0.0065,37,0.2405,33,0.2,1,3,768,0.9453125,0.9719460227272727,0.9921875,0,0.6484375,0.75,0,-0.009952466934919357,-0.0017337929457426071,-0.021886643022298813,0.6316797,0,768,0.0,0.5454545454545454,0.09090909090909091,1.365275905
32,-0.8999999761581421,-2.3459,disordered,0.0065,37,0.2405,33,0.2,1,4,1024,0.9375,0.9695785984848485,0.9921875,0,0.677734375,0.76171875,0,-0.035535067319869995,-0.021831534802913666,-0.016544505953788757,0.63474244,0,1024,0.0,0.6363636363636364,0.15151515151515152,1.361699663
32,-0.8999999761581421,-2.3459,disordered,0.0065,37,0.2405,33,0.2,1,5,1280,0.93359375,0.9699337121212122,0.9921875,0,0.7125,0.76484375,0,-0.006365060806274414,-0.0011077001690864563,-0.010341528803110123,0.63533694,0,1280,0.0,0.7272727272727273,0.18181818181818182,1.341014063
32,-0.8999999761581421,-2.3459,disordered,0.0065,37,0.2405,33,0.2,1,6,1536,0.94140625,0.9689867424242424,0.98828125,0,0.7239583333333334,0.7630208333333333,0,-0.004110720008611679,0.008674957789480686,-0.02341567352414131,0.63685507,0,1536,0.0,0.7272727272727273,0.21212121212121213,1.34912968
32,-0.8999999761581421,-2.3459,disordered,0.0065,37,0.2405,33,0.2,1,7,1792,0.94921875,0.9706439393939394,0.984375,0,0.7377232142857143,0.7650669642857142,0,0.01377093605697155,-0.04015118628740311,0.013732770457863808,0.63815165,0,1792,0.0,0.7575757575757576,0.24242424242424243,1.361673845
32,-0.8999999761581421,-2.3459,disordered,0.0065,37,0.2405,33,0.2,1,8,2048,0.94140625,0.9691051136363636,0.9921875,0,0.7392578125,0.76416015625,0,0.010788114741444588,0.001665586605668068,-0.01755388081073761,0.6386104,0,2048,0.0,0.7878787878787878,0.30303030303030304,1.361533478
32,-0.8999999761581421,-2.3459,ordered,0.0065,37,0.2405,33,0.2,1,1,256,0.08203125,0.6611032196969697,0.89453125,0,0.3359375,0.73046875,0,0.7820634841918945,0.6518986225128174,0.6170015335083008,0.264913,0,256,0.0,0.3333333333333333,0.030303030303030304,1.345505689
32,-0.8999999761581421,-2.3459,ordered,0.0065,37,0.2405,33,0.2,1,2,512,0.0546875,0.9419981060606061,0.9921875,0,0.16796875,0.734375,0,0.7081904411315918,0.6530003547668457,0.6159337759017944,0.27036425,0,512,0.0,0.3333333333333333,0.06060606060606061,1.34856892
32,-0.8999999761581421,-2.3459,ordered,0.0065,37,0.2405,33,0.2,1,3,768,0.9453125,0.9674479166666666,0.98828125,0,0.3541666666666667,0.7473958333333334,0,0.6716781854629517,0.6437708735466003,0.6252185106277466,0.27266026,0,768,0.0,0.48484848484848486,0.09090909090909091,1.404602883
32,-0.8999999761581421,-2.3459,ordered,0.0065,37,0.2405,33,0.2,1,4,1024,0.94921875,0.9723011363636364,0.9921875,0,0.462890625,0.7470703125,0,0.6725398898124695,0.646312952041626,0.6261449456214905,0.27285963,1,1024,0.030303030303030304,0.5757575757575758,0.12121212121212122,1.577383975
32,-0.8999999761581421,-2.3459,ordered,0.0065,37,0.2405,33,0.2,1,5,1280,0.953125,0.970407196969697,0.9921875,0,0.525,0.75,0,0.6778634786605835,0.6541000604629517,0.6245565414428711,0.2724441,2,1280,0.06060606060606061,0.6363636363636364,0.15151515151515152,1.353664087
32,-0.8999999761581421,-2.3459,ordered,0.0065,37,0.2405,33,0.2,1,6,1536,0.94921875,0.9719460227272727,0.98828125,0,0.5677083333333334,0.75,0,0.6751656532287598,0.6499578952789307,0.6038230061531067,0.2758258,2,1536,0.06060606060606061,0.6666666666666666,0.18181818181818182,1.358537916
32,-0.8999999761581421,-2.3459,ordered,0.0065,37,0.2405,33,0.2,1,7,1792,0.9453125,0.9711174242424242,0.98828125,0,0.6037946428571429,0.75,0,0.6689965724945068,0.6535394787788391,0.6011055111885071,0.27552634,2,1792,0.06060606060606061,0.7272727272727273,0.21212121212121213,1.389057106
32,-0.8999999761581421,-2.3459,ordered,0.0065,37,0.2405,33,0.2,1,8,2048,0.9453125,0.9708806818181818,0.99609375,0,0.6259765625,0.75244140625,0,0.6709187030792236,0.6447651386260986,0.6096720695495605,0.27540642,2,2048,0.06060606060606061,0.7575757575757576,0.24242424242424243,1.358695775
