L,Z,m2,n_lf,eps,tau,probe_acceptance,acceptance_mean,acceptance_min,acceptance_max,iat_M2_median,iat_Q_median,robust_limiting_iat,ess_per_1000_force,seconds,samples,chains
8,-0.6,-1.85764,8,0.05286071721117592,0.42288573768940735,0.7853125,0.7773125000000001,0.7744166666666666,0.7791666666666667,22.26770727244019,13.443374840504813,22.26770727244019,2.806755057237241,3.295428592,12000,4
8,-0.6,-1.85764,16,0.05286071721117592,0.8457714753788147,0.7846875,0.7845833333333334,0.7805,0.788,8.775563169042613,4.417006074704595,8.775563169042613,3.5610250189116104,5.476705628,12000,4
8,-0.6,-1.85764,24,0.05286071721117592,1.268657213068222,0.7678125000000001,0.7697291666666667,0.7658333333333334,0.77475,16.54130585846876,4.926900517628488,16.54130585846876,1.2594733155645723,6.815269516,12000,4
8,-0.6,-1.85764,32,0.05286071721117592,1.6915429507576294,0.7818749999999999,0.7965000000000001,0.7861666666666667,0.8010833333333334,12.027968980747108,4.086475562847527,12.027968980747108,1.2990555616671922,8.85922115,12000,4
