L,Z,m2,n_lf,eps,tau,probe_acceptance,acceptance_mean,acceptance_min,acceptance_max,iat_M2_median,iat_Q_median,robust_limiting_iat,ess_per_1000_force,seconds,samples,chains
18,-0.6,-1.85764,4,0.028773729912208362,0.11509491964883345,0.7506250000000001,0.74340625,0.739875,0.746125,488.6811989790351,306.1158881958215,502.2694903256224,0.24887038215074983,3.180394061,8000,4
18,-0.6,-1.85764,6,0.028773729912208362,0.17264237947325017,0.7018749999999999,0.705875,0.7035,0.709875,238.47837333359263,139.6131135246158,251.3555457112487,0.33153568622299145,3.527907002,8000,4
18,-0.6,-1.85764,8,0.028773729912208362,0.2301898392976669,0.725625,0.7315625000000001,0.72825,0.73275,452.386384035885,157.18444413399138,452.386384035885,0.13815623592031512,4.364000438,8000,4
18,-0.6,-1.85764,12,0.028773729912208362,0.34528475894650035,0.824375,0.83128125,0.829875,0.831875,530.3543664628618,43.50268842173067,530.3543664628618,0.07856382317460261,5.926419744,8000,4
18,-0.6,-1.85764,16,0.028773729912208362,0.4603796785953338,0.7775,0.76353125,0.759,0.7685,289.60925951149494,83.09596713078625,289.60925951149494,0.10790400849997564,6.504844697,8000,4
18,-0.6,-1.85764,24,0.028773729912208362,0.6905695178930007,0.79125,0.7754062500000001,0.762125,0.782625,276.05754483829554,112.21766410648813,276.05754483829554,0.07546735716111923,7.194925042,8000,4
18,-0.6,-1.85764,32,0.028773729912208362,0.9207593571906676,0.7618750000000001,0.78665625,0.7745,0.793625,490.81360439245555,346.43364747522253,490.81360439245555,0.031834895895644776,8.684819795,8000,4
