L,Z,m2,n_lf,eps,tau,probe_acceptance,acceptance_mean,acceptance_min,acceptance_max,iat_M2_median,iat_Q_median,robust_limiting_iat,ess_per_1000_force,seconds,samples,chains
8,-0.6,-1.85764,4,0.05286071721117592,0.21144286884470367,0.71125,0.71803125,0.711375,0.722875,165.9691288546334,57.37145431294653,165.9691288546334,0.7531521124599212,1.77336363,8000,4
8,-0.6,-1.85764,6,0.05286071721117592,0.3171643032670555,0.80375,0.82584375,0.822125,0.82925,38.16078037629203,27.0255372302369,38.16078037629203,2.183742903358062,1.860018653,8000,4
8,-0.6,-1.85764,8,0.05286071721117592,0.42288573768940735,0.78,0.7754375,0.771,0.777125,21.902494040484438,16.197637782554274,21.902494040484438,2.853556306623135,2.385022118,8000,4
8,-0.6,-1.85764,12,0.05286071721117592,0.634328606534111,0.778125,0.77790625,0.770875,0.784875,35.11720115736342,17.215186393167343,35.11720115736342,1.1865030609915206,2.815519111,8000,4
8,-0.6,-1.85764,16,0.05286071721117592,0.8457714753788147,0.7818750000000001,0.784875,0.781875,0.791125,16.06755595452869,8.290792293555233,16.06755595452869,1.9449130962068997,3.265729207,8000,4
8,-0.6,-1.85764,24,0.05286071721117592,1.268657213068222,0.7781250000000001,0.7670625,0.764125,0.770375,4.6213336903487985,2.270086355988507,4.6213336903487985,4.5080781283640485,4.578958939,8000,4
8,-0.6,-1.85764,32,0.05286071721117592,1.6915429507576294,0.7906249999999999,0.7910625,0.782625,0.80075,5.0646313606974775,1.6030052562444703,5.0646313606974775,3.0851208878207865,5.676794399,8000,4
