L,Z,m2,n_lf,eps,tau,probe_acceptance,acceptance_mean,acceptance_min,acceptance_max,iat_M2_median,iat_Q_median,robust_limiting_iat,ess_per_1000_force,seconds,samples,chains
12,-0.6,-1.85764,4,0.039,0.156,0.73875,0.7036250000000001,0.697625,0.70925,552.2698811564042,167.64475166326784,552.2698811564042,0.22633861498704416,2.383766233,8000,4
12,-0.6,-1.85764,6,0.039,0.23399999999999999,0.723125,0.7339375,0.731375,0.74025,275.6219974373079,39.11896937236415,275.6219974373079,0.3023464531429066,2.753866559,8000,4
12,-0.6,-1.85764,8,0.039,0.312,0.825,0.822375,0.818375,0.82775,627.4496252474079,50.787923554022456,627.4496252474079,0.099609590133002,2.756705652,8000,4
12,-0.6,-1.85764,12,0.039,0.46799999999999997,0.7849999999999999,0.769125,0.763625,0.774,707.6473790249336,432.4502878533274,707.6473790249336,0.05888054969422641,3.555223805,8000,4
12,-0.6,-1.85764,16,0.039,0.624,0.779375,0.7846249999999999,0.78325,0.786625,190.51361559863233,77.08224551085894,190.51361559863233,0.1640302710218699,4.124200928,8000,4
12,-0.6,-1.85764,24,0.039,0.9359999999999999,0.77875,0.7773125,0.77025,0.785375,157.32644501989117,77.77721661266585,157.32644501989117,0.1324210518498611,5.308593817,8000,4
12,-0.6,-1.85764,32,0.039,1.248,0.76125,0.7772499999999999,0.7735,0.7815,326.88178336211365,205.93574061889532,326.88178336211365,0.0478001552710905,6.515176364,8000,4
