L,Z,m2,n_lf,eps,tau,probe_acceptance,acceptance_mean,acceptance_min,acceptance_max,iat_M2_median,iat_Q_median,robust_limiting_iat,ess_per_1000_force,seconds,samples,chains
24,-0.6,-1.85764,4,0.02318953874255306,0.09275815497021224,0.7781250000000001,0.77553125,0.770625,0.784375,551.225435874477,553.1891012959472,754.5766659009848,0.16565579834190425,4.351652961,8000,4
24,-0.6,-1.85764,6,0.02318953874255306,0.13913723245531837,0.7137499999999999,0.72309375,0.71925,0.728375,593.8636183159532,423.0646568491393,737.8781521239476,0.11293644227500467,4.7755409,8000,4
24,-0.6,-1.85764,8,0.02318953874255306,0.18551630994042448,0.6981250000000001,0.7065625,0.695875,0.717375,283.12294131611816,264.2417013091191,381.7470564098103,0.16372097426968882,6.086440992,8000,4
24,-0.6,-1.85764,12,0.028540970760065305,0.34249164912078367,0.745625,0.7488437499999999,0.74775,0.75025,709.2442788959397,303.04855728294,709.2442788959397,0.05874797711661203,7.710467037,8000,4
24,-0.6,-1.85764,16,0.02318953874255306,0.37103261988084896,0.821875,0.82028125,0.816,0.83075,859.0891909207851,406.5560447313222,859.0891909207851,0.036375734126634474,8.780480564,8000,4
24,-0.6,-1.85764,24,0.02318953874255306,0.5565489298212735,0.7831250000000001,0.7701874999999999,0.765875,0.776875,541.8225485861176,308.3374112444585,541.8225485861176,0.03845047310728906,11.365129281,8000,4
24,-0.6,-1.85764,32,0.02318953874255306,0.7420652397616979,0.7825,0.77059375,0.768375,0.773375,804.4509064837953,335.1956148081868,804.4509064837953,0.019423186516497198,13.569456994,8000,4
