L,Z,m2,n_lf,eps,tau,probe_acceptance,acceptance_mean,acceptance_min,acceptance_max,iat_M2_median,iat_Q_median,robust_limiting_iat,ess_per_1000_force,seconds,samples,chains
6,-0.6,-1.85764,4,0.06558992038978974,0.26235968155915895,0.770625,0.7676562499999999,0.760375,0.778625,36.66378377410688,34.27397906387668,36.66378377410688,3.4093589676982257,1.729491165,8000,4
6,-0.6,-1.85764,6,0.06558992038978974,0.39353952233873846,0.7887500000000001,0.798125,0.79275,0.803625,12.690910451059704,10.539731807512744,12.690910451059704,6.566379429962405,1.835476977,8000,4
6,-0.6,-1.85764,8,0.06558992038978974,0.5247193631183179,0.774375,0.76609375,0.757,0.774375,9.896420168505381,8.124513541208337,9.896420168505381,6.315414961755725,2.424997755,8000,4
6,-0.6,-1.85764,12,0.06558992038978974,0.7870790446774769,0.7775000000000001,0.768,0.758125,0.77525,3.4859739722202616,2.7686106930336294,3.4859739722202616,11.952661436576541,2.691887323,8000,4
6,-0.6,-1.85764,16,0.06558992038978974,1.0494387262366358,0.765625,0.75778125,0.752875,0.761,2.664621892892849,1.8690208776234478,2.664621892892849,11.72774271777577,3.545230242,8000,4
6,-0.6,-1.85764,24,0.06558992038978974,1.5741580893549538,0.78,0.7674687499999999,0.760375,0.77475,1.2318311020604227,0.5,1.2318311020604227,16.912491735666077,4.559766193,8000,4
6,-0.6,-1.85764,32,0.06558992038978974,2.0988774524732716,0.734375,0.75453125,0.749625,0.759375,0.5,0.5,0.5,31.25,5.589620249,8000,4
