L,Z,m2,n_lf,eps,tau,probe_acceptance,acceptance_mean,acceptance_min,acceptance_max,iat_M2_median,iat_Q_median,robust_limiting_iat,ess_per_1000_force,seconds,samples,chains
28,-0.6,-1.85764,4,0.020657702470232325,0.0826308098809293,0.7875000000000001,0.8009062499999999,0.796625,0.8025,394.49138671525293,421.9846931410093,475.9523865131234,0.26263131258940203,6.50874986,8000,4
28,-0.6,-1.85764,6,0.020657702470232325,0.12394621482139395,0.724375,0.7374375,0.730625,0.742375,472.64064549908886,587.255446648528,656.1902516247792,0.12699568932484653,7.274597449,8000,4
28,-0.6,-1.85764,8,0.020657702470232325,0.1652616197618586,0.7200000000000001,0.71209375,0.7015,0.71725,413.6049757173172,590.2533997311045,769.0008416444639,0.08127429336273204,9.175506388,8000,4
28,-0.6,-1.85764,12,0.020657702470232325,0.2478924296427879,0.768125,0.74821875,0.743625,0.751125,737.4873615391671,389.78103918063414,737.4873615391671,0.05649814334405214,11.596753853,8000,4
28,-0.6,-1.85764,16,0.025424864578747475,0.4067978332599596,0.699375,0.6975625,0.687375,0.705,211.56879071499407,251.03167062574607,251.03167062574607,0.12448628462736672,13.746820641,8000,4
28,-0.6,-1.85764,24,0.020657702470232325,0.4957848592855758,0.7625000000000001,0.7717499999999999,0.768875,0.774,864.948811839698,319.3213205304994,864.948811839698,0.024086203770858985,17.903431859,8000,4
28,-0.6,-1.85764,32,0.020657702470232325,0.6610464790474344,0.7875000000000001,0.783875,0.775,0.791375,629.9349836376351,331.03157070564976,629.9349836376351,0.024804147103835324,22.176363637,8000,4
