L,Z,m2,n_lf,eps,tau,probe_acceptance,acceptance_mean,acceptance_min,acceptance_max,iat_M2_median,iat_Q_median,robust_limiting_iat,ess_per_1000_force,seconds,samples,chains
16,-0.6,-1.85764,4,0.0314311705058386,0.1257246820233544,0.734375,0.7281250000000001,0.723375,0.74,229.36715138080575,117.51609207105213,229.36715138080575,0.5449777757952329,2.526484482,8000,4
16,-0.6,-1.85764,6,0.0314311705058386,0.1885870230350316,0.694375,0.70940625,0.70175,0.719,398.51062025887865,94.70536037097398,398.51062025887865,0.20911195109229136,2.997546745,8000,4
16,-0.6,-1.85764,8,0.0314311705058386,0.2514493640467088,0.754375,0.752,0.748625,0.756,288.403716012742,51.29739553523328,288.403716012742,0.21671010645798572,3.479893468,8000,4
16,-0.6,-1.85764,12,0.0314311705058386,0.3771740460700632,0.8125,0.8206562500000001,0.81425,0.826625,377.116749273564,133.60592325748445,377.116749273564,0.11048744651869409,5.492336229,8000,4
16,-0.6,-1.85764,16,0.0314311705058386,0.5028987280934176,0.7506249999999999,0.7661250000000001,0.76075,0.774,222.9213880068011,55.11969955053625,222.9213880068011,0.1401839468137826,6.168170791,8000,4
16,-0.6,-1.85764,24,0.0314311705058386,0.7543480921401264,0.7775,0.777,0.77075,0.783,566.9110055524807,368.49068165082264,566.9110055524807,0.036748860278396425,6.453739782,8000,4
16,-0.6,-1.85764,32,0.0314311705058386,1.0057974561868352,0.77875,0.7741562499999999,0.76725,0.78,524.2559115192805,310.8076239464448,524.2559115192805,0.0298041465182894,7.536949585,8000,4
